hand_presence_ratio,hand_present_frames,displacement_mm,velocity_mean,velocity_std,velocity_max,acceleration_mean,direction_consistency,position_x_mean,position_y_mean,position_z_mean,position_std,grab_mean,grab_max,pinch_mean,pinch_max,finger_mean,finger_std,label,source_file
1.0,110,6.631071265968924,14.648482337148844,4.623653543223298,27.573660460795473,2.2186649907089944,0.971285511304954,-163.46613048206677,154.7842369773171,26.913248911770907,1.4031223269145172,0.0,0.0,0.0,0.0,5.0,0.0,intentional,intentional_20250925_182021.json
1.0,110,12.437247062422836,18.815719239966896,7.596716306672212,40.60476282225396,2.6058078741132946,0.9693835079032186,-166.29439336603338,158.18772846568714,28.634181317416104,2.024565207501691,0.0,0.0,0.0,0.0,5.0,0.0,intentional,intentional_20250925_182021.json
1.0,110,8.21886058830191,16.622739016203774,9.236608338724926,40.60476282225396,2.647090065556295,0.9181265302229251,-168.3923141479492,162.59957511208273,30.210281788219106,1.7544019666199306,0.0,0.0,0.0,0.0,5.0,0.0,intentional,intentional_20250925_182021.json
1.0,110,15.532166828536848,25.242530674773512,20.682409619935573,96.04798643438589,2.8780854120281383,0.9267955624592712,-168.30823308771306,166.68577145663176,31.34066361514005,2.667404149838901,0.0,0.0,0.0,0.0,5.0,0.0,intentional,intentional_20250925_182021.json
1.0,110,70.93680827857699,74.48781767502192,41.461030682831556,199.19597463860853,8.437650822823132,0.988431664674742,-152.21179788762873,182.57607948996804,33.61468094912442,11.333018232052844,0.0,0.0,0.0,0.0,5.0,0.0,intentional,intentional_20250925_182021.json
1.0,110,121.10712976855223,148.53098898116667,83.95303235532384,379.4305230661817,15.811053271425735,0.9918001401200532,-124.40489273071289,214.95157678777522,37.5649659243497,15.770296204389934,0.0,0.0,0.0,0.0,5.0,0.0,intentional,intentional_20250925_182021.json
1.0,110,24.878944426428667,161.81019913949248,82.28587262908859,379.4305230661817,17.105128901278853,0.9907607049475793,-113.96123622547496,253.55811004638673,41.53211739280007,12.718778375341012,0.0,0.0,0.0,0.0,5.0,0.0,intentional,intentional_20250925_182021.json
1.0,110,46.02851734448803,121.82704509437876,45.555114224219594,221.51430588038082,12.953106822240752,0.9881073594583878,-105.41133707219905,256.1661050969904,43.0265305259011,12.869842794381663,0.0,0.0,0.0,0.0,4.763636363636364,0.4248480525653791,intentional,intentional_20250925_182021.json
1.0,110,22.52037786374616,83.11843293818085,44.39832145589786,221.51430588038082,10.923072804141572,0.9647322405773038,-91.55400765158913,239.96781852028587,46.21838781183416,5.926601128321827,0.00878874629905278,0.17840254306793213,0.0036089976572177625,0.17625443637371063,4.2,0.5359782899266791,intentional,intentional_20250925_182021.json
1.0,110,40.057316282796975,95.14858055244818,47.96954864585086,227.40558733987876,14.302530291400533,0.9702364256926512,-80.6566944469105,235.3726128318093,49.48328555714,7.204108610724845,0.30137613006782804,1.0,0.3880025200715119,1.0,2.309090909090909,1.772237694633818,intentional,intentional_20250925_182021.json
1.0,110,47.829007316809594,85.6822115220096,57.80994765741341,227.40558733987876,10.999331759729015,0.9824379421966485,-57.82571872364391,230.09323910799893,47.78171383250844,8.060940361858814,0.7925873837687752,1.0,0.7986854954199357,1.0,0.37272727272727274,0.8827548914319915,intentional,intentional_20250925_182021.json
1.0,110,9.40172276030292,29.226095129378663,27.529248618138094,200.83700407541926,4.5615207845786285,0.9605717390542868,-46.5859994021329,228.72550562078303,45.13454666137695,2.245434791487637,1.0,1.0,0.8507082890380513,0.940083920955658,0.0,0.0,intentional,intentional_20250925_182021.json
1.0,110,17.36015746884574,25.103976181462485,12.51714037845223,57.32463822288681,3.7666120866143182,0.9611077533069347,-52.94332337812944,226.30262811834163,43.92451719804244,2.277109069388436,1.0,1.0,0.8963371363553134,0.940083920955658,0.0,0.0,intentional,intentional_20250925_182021.json
1.0,110,24.167201665494627,32.34683991840245,16.189643238748584,82.62951966173682,4.049127833373703,0.9763470313616089,-63.709916444258255,227.049448186701,41.48952015963468,4.060014224631906,1.0,1.0,0.9238059943372553,0.9455613493919373,0.0,0.0,intentional,intentional_20250925_182021.json
1.0,110,38.64943264004903,93.5396673770391,95.4117433727342,495.99700344585904,21.356811720269075,0.9289858285162467,-78.64585321599787,236.3898286299272,42.06342790777033,10.21816852888553,0.9760980730706995,1.0,0.9305730749260296,1.0,0.045454545454545456,0.47455938676866133,intentional,intentional_20250925_182021.json
1.0,110,31.972078386769695,113.37620978529638,97.69067242546018,495.99700344585904,29.53240210514401,0.8329780946693633,-95.8387748371471,242.20189958052202,42.93756259571422,9.853121781845402,0.9706555659120734,1.0,0.9595902535048398,1.0,0.045454545454545456,0.47455938676866133,intentional,intentional_20250925_182021.json
1.0,110,16.003733357654585,43.31566310830438,59.18758485055531,317.1099665663171,10.821465587627378,0.8228658308335289,-107.2288461858576,240.44977430863813,40.50302290482954,1.950972676303243,0.9945574928413737,1.0,0.9928280619057742,1.0,0.0,0.0,intentional,intentional_20250925_182021.json
1.0,110,7.290681796356283,14.466115494289397,8.338348228682749,47.170642810223406,2.128345951653057,0.9102505454964291,-110.24721860018643,239.9436151677912,40.24133578213778,1.1646707370757092,1.0,1.0,0.9823541565374895,1.0,0.0,0.0,intentional,intentional_20250925_182021.json
1.0,110,15.226662188585887,28.696121351701102,18.832382819864744,69.73504021011871,3.468512369319299,0.9627541436019508,-114.93206481933593,234.12750909978692,42.69849142594771,3.825813079166647,1.0,1.0,0.9656077460809187,0.9824885129928589,0.0,0.0,intentional,intentional_20250925_182021.json
1.0,110,11.75660711154172,37.11935546031561,14.327040470972047,69.9452005659275,4.71244592192504,0.9688512007244241,-116.42860891168768,227.33517969304864,46.1758372220126,2.5848121468894325,1.0,1.0,0.9634567033160817,0.989281952381134,0.0,0.0,intentional,intentional_20250925_182021.json
1.0,110,56.48074890880452,86.89015632701941,78.71443724085319,366.3560492098628,14.02233084513701,0.9606560467985817,-120.9888518593528,212.8154556274414,39.56172624067827,11.762143993947566,0.6537585500966419,1.0,0.6047717433084141,1.0,1.709090909090909,2.332947626522973,intentional,intentional_20250925_182021.json
1.0,110,60.03168635359569,81.15683201833845,82.67951403072033,366.3560492098628,12.977954798144596,0.973819868053427,-126.01882372769442,185.537316755815,29.3865553595803,9.218547481740854,0.15375855009664188,1.0,0.1244943388483741,1.0,4.209090909090909,1.7740321537798092,intentional,intentional_20250925_182021.json
1.0,110,6.055150740593204,16.611716871261688,8.813808020087336,43.945719439011995,2.8583950277386183,0.9501224583010587,-123.27075299349698,170.38015358664774,28.005992490595037,1.4797288532006734,0.0,0.0,0.0,0.0,5.0,0.0,intentional,intentional_20250925_182021.json
1.0,110,10.361256508971444,21.241641953407733,15.020761299972342,63.69940069269006,3.3425282403809002,0.9380017263650906,-119.60002677223899,169.49937092174184,30.115112044594504,2.226966732258447,0.0,0.0,0.0,0.0,5.0,0.0,intentional,intentional_20250925_182021.json
1.0,110,9.002202634668617,31.485604154292467,13.080244774746086,63.69940069269006,3.9030912575154906,0.9771046732707624,-117.80030274824662,169.61965859153054,32.974186012961646,2.318443692015223,0.0,0.0,0.0,0.0,5.0,0.0,intentional,intentional_20250925_182021.json
